[00:00] 好的，那
[00:02] 我們家的系統啊，基本上它就是綁定
[00:07] 在iOS系統，所以它就是iOS系統裡面的一個App。
[00:11] 然後這裡點開就可以做點餐結賬的動作。
[00:14] 嗯，那因為如果有人內用的話，你可以根據你到時候營運店裡的狀況，然後去排你想要的桌型的。
[00:24] 嗨。
[00:24] 嗨。
[00:25] 好，對。
[00:27] 好，我剛剛老闆這邊有說有可能會有內用，那如果內用的話就是依照你到時候店內的營運流程跟模式去安排你的座位。
[00:37] 對對對對。
[00:38] 那這是內用的部分，那外帶的話是小提袋，就是我們會分兩區。
[00:43] 那以您這邊的店應該就是純外帶的模式。
[00:46] 對對對對，那如果內用的話，我們就是到時候設定好座位。
[00:50] 下去做點餐。
[00:51] 這你會幫我們弄嗎？
[00:52] 會啊。
[00:53] 這個到時候我教學的時候會連這裡一起教。
[00:56] 好。
[00:56] 對對對對，然後設完你要的座位，我們內用的點餐就是點進來，跟外帶的形是一模一樣，都是共用同一個點餐頁，只是它印單出來會分說這是內用還是外帶。
[01:07] 它上面會寫。
[01:08] 對，對，會寫桌號，然後也會寫是內用，然後外帶就是純粹外帶號碼，然後會有流水號這樣子。
[01:15] 嗯。
[01:15] 好，那如果到時候確定要使用的話，我可以直接複製東門店的菜單過去給他。
[01:23] 不行，我們賣的東西。
[01:24] 完全天壤之別是嗎？
[01:26] 沒有，就是我這邊有的他那邊會有，可是你直接
[01:30] 直接複製改它好了。
[01:31] 因為它等於說到時候要用再把它弄上去就好。
[01:33] 對。
[01:33] 對對對對。
[01:34] 對，因為這個從後台那上面弄。
[01:36] 正確，所以我會複製過去，那如果說他那邊還有新的東西，他再自己上一些就可以。
[01:40] 對對對對。
[01:41] 好像也對啊，直接複製上去就好了。
[01:43] 嘿啊，嘿，好，然後形式就會
[01:46] 跟假設說它有客制化調整，加辣不加辣，加蔥不加蔥，加蒜不加蒜，加胡椒不加胡椒，那些我們再複製過去，不確定你這邊有沒有做，如果沒有。
[01:55] 有，我們有。
[01:56] 嗯，直接複製過去就好。
[01:57] 對，然後你再點選的時候，裡面就會出現它所有的客制化選項。
[02:02] 然後你就開始點，不蔥，然後小辣，然後什麼什麼。
[02:05] 而且它旁邊，它上面還有個文字註記。
[02:07] 比如說你這上面沒有，然後他又買，他可能要加個梅粉，然後你就可以這上面直接打加梅粉，然後印出來，啊下面就會有一個細項是加梅粉。
[02:16] 對對對對。
[02:16] 所以這個這個還蠻不錯的。
[02:18] 對，就是可以讓你臨時增加，啊如果說這個怪人很多，你就直接把它當成其中一個東西就好，就不用每次手提。
[02:25] 對對對對對對。
[02:26] 啊如果說它客制化，比如說它可能
